Feb 1,Feb 2,Feb 3,Feb 4,Feb 5,Feb 6,Feb 7,Feb 8,Feb 9,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28
2.6,0.4,0.0,0.0,NA,0.0,NA,NA,3.7,0.8,0.8,NA,0.0,0.0,0.0,3.9,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.2,NA
2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.5,.005,.005,0.0,.005,0.0,0.0,0.4,5.5,4.9,1.5,.005,7.5,.005,0.0,0.3,.005,0.0,0,0,0,0,0,0.0,0,.005,.005,0.0
1.3,.005,0.0,.005,.005,.005,0.3,0.0,11.2,1.0,0.8,7.6,.005,.005,.005,.005,.005,0.0,0,0,0,0,NA,0.0,0,.005,0.0,0.0
2.5,NA,NA,NA,NA,NA,NA,NA,5.0,4.5,1.6,NA,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.0,0.5,0.4,0.2,0.0,0.4,0.0,0.0,3.2,0.5,0.4,0.0,1.6,0.4,1.1,1.9,0.2,0.0,0,0,0,0,0,0.0,0,1.0,0.0,0.0
3.0,2.8,0.5,0.4,.005,0.1,NA,NA,2.5,1.0,0.6,NA,2.7,0.4,2.4,3.0,0.8,0.0,0,0,0,NA,NA,NA,NA,1.0,.005,0.0
2.0,1.0,0.0,0.0,0.0,0.0,NA,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,6.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0
1.6,.005,0.2,0.2,.005,.005,0.0,0.4,9.0,3.4,1.5,0.0,6.9,.005,.005,0.3,.005,0.0,NA,0,0,0,0,0.0,0,0.5,.005,0.0
2.4,.005,0.0,0.0,.005,.005,NA,NA,NA,NA,1.5,NA,1.6,NA,NA,1.0,0.0,0.0,NA,0,0,NA,NA,NA,NA,0.5,NA,0.0
3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,0.4,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0,0,0,NA,NA,0.0,0,0.5,0.0,0.0
2.1,0.1,0.2,0.0,0.0,.005,0.0,0.0,4.3,0.2,0.3,.005,1.9,0.4,0.0,2.1,.005,0.0,0,0,0,0,0,0.0,0,.005,.005,0.0
NA,0.0,0.0,0.0,.005,0.0,NA,NA,0.0,11.6,NA,NA,NA,0.0,0.0,NA,0.0,0.0,0,0,NA,0,0,0.0,NA,NA,NA,0.0
2.7,2.4,0.0,2.3,0.6,0.0,0.0,0.0,0.8,0.0,2.2,0.0,3.2,0.8,1.8,4.8,0.8,0.0,0,0,0,0,0,0.0,0,1.2,0.0,0.0
1.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.3,7.3,2.1,0.0,4.4,2.4,0.0,1.6,1.3,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0
1.4,0.0,.005,.005,0.0,.005,.005,NA,1.1,2.6,0.4,.005,7.2,0.9,.005,4.1,1.6,.005,0,0,0,0,0,0.0,0,.005,0.0,0.0
0.4,0.7,.005,0.0,0.0,.005,.005,0.0,0.9,0.0,0.4,.005,2.7,1.1,0.0,1.6,0.1,0.0,0,0,0,0,0,0.0,0,.005,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0
2.8,.005,.005,0.0,0.0,.005,0.0,0.6,5.4,3.6,2.1,NA,6.8,.005,0.0,.005,0.2,0.0,0,0,0,0,0,0.0,0,0.2,.005,0.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,NA,NA,0.0,0,0.0,0.0,0.0
NA,NA,NA,NA,0.0,0.0,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,0.0,0.0,0,0,0,0,0,NA,NA,0.0,NA,0.0
4.5,1.0,0.8,.005,.005,0.4,0.0,0.0,5.9,0.7,1.0,1.2,6.1,4.5,.005,0.7,1.3,0.0,0,0,0,0,0,0.0,NA,0.8,.005,.005
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,12.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0
NA,0.8,0.0,NA,NA,NA,0.0,0.0,0.6,2.3,NA,NA,NA,0.5,0.0,1.5,4.0,NA,NA,0,0,0,0,0.0,NA,NA,NA,0.0
1.5,1.7,0.7,3.9,0.0,0.8,.005,0.0,0.9,2.0,0.6,0.1,10.2,0.4,NA,3.6,1.5,.005,0,0,0,0,0,0.0,0,.005,NA,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0,NA,0,0,0.0,0,.005,.005,0.0
NA,NA,NA,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,2.0,0.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0
0.4,NA,NA,NA,NA,NA,NA,NA,4.8,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.5,0.2,NA,NA,0.0,NA,NA,NA,3.8,9.5,0.1,.005,4.8,NA,NA,NA,0.0,0.0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.0,10.0,17.0,NA,NA,NA,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,0.0,6.0,3.0,0.0,0,0,0,0,0,0.0,0,0.0,NA,0.0
2.5,.005,1.0,1.0,.005,0.0,0.0,NA,6.0,0.0,0.5,1.5,5.0,0.5,0.0,3.0,0.5,0.0,0,0,0,NA,0,0.0,0,.005,.005,NA
3.0,0.5,1.0,.005,.005,.005,0.0,0.0,5.5,.005,0.5,1.0,3.5,1.0,.005,5.0,1.0,0.0,0,0,0,0,0,0.0,0,0.5,.005,NA
1.5,.005,0.0,0.0,0.0,0.0,NA,NA,5.0,0.4,0.4,0.5,.005,0.0,NA,1.0,0.0,0.0,0,0,0,0,NA,0.0,0,0.1,0.0,0.0
5.0,3.5,2.5,NA,NA,NA,0.5,0.0,1.0,0.0,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,0,0,0.0,NA,NA,NA,0.0
0.1,1.9,.005,0.0,0.1,.005,0.0,0.1,5.7,0.6,.005,5.6,5.0,.005,2.4,1.1,0.3,0.0,0,0,0,0,0,0.0,0.1,0.1,0.0,0.0
2.4,0.9,0.7,0.0,0.0,NA,NA,0.0,5.0,0.2,0.5,0.3,4.5,0.5,0.0,0.9,.005,0.0,0,0,0,NA,NA,NA,NA,0.0,NA,NA
2.8,0.5,1.0,.005,0.0,.005,0.0,0.0,4.8,.005,0.5,.005,4.2,.005,0.0,1.4,0.0,0.0,0,0,0,0,0,NA,0,.005,NA,NA
0.1,1.9,NA,NA,0.1,NA,0.0,0.1,5.7,0.6,0.0,5.6,5.0,0.0,2.4,1.1,0.3,0.0,0,0,0,0,NA,0.0,0.1,0.1,0.0,0.0
2.5,0.4,0.0,NA,0.0,.005,0.0,0.0,0.2,.005,0.9,0.0,NA,.005,0.1,0.5,0.0,0.0,0,0,0,0,0,0.0,0,0.1,0.0,0.0
8.0,NA,6.5,NA,1.5,NA,NA,NA,NA,NA,NA,6.0,3.5,NA,4.0,0.0,0.0,0.0,0,0,0,0,0,NA,NA,NA,0.0,0.0
2.3,9.5,7.6,2.5,0.3,1.5,0.0,0.0,1.0,0.3,2.7,0.0,7.8,0.0,0.6,3.4,1.0,0.0,0,0,0,0,0,0.0,NA,2.9,0.0,0.0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0,1.0,.005,0.0
2.0,3.0,.005,0.1,0.5,.005,0.0,0.0,1.0,.005,0.1,0.0,0.5,0.1,3.0,5.0,.005,0.0,0,0,0,0,0,0.0,0,0.1,0.0,0.0
1.5,1.6,4.0,7.1,0.0,0.6,NA,NA,0.7,1.5,0.7,NA,9.0,0.4,NA,2.3,NA,NA,0,0,0,NA,NA,NA,NA,0.2,3.5,NA
1.3,2.5,5.0,NA,NA,NA,0.0,0.0,0.6,1.0,NA,NA,NA,0.3,NA,2.0,1.0,NA,NA,NA,0,0,0,0.0,NA,NA,NA,0.0
2.6,.005,NA,0.6,0.0,0.0,.005,.005,3.2,0.8,1.2,0.0,8.6,0.3,0.0,0.1,0.8,0.0,0,0,0,0,0,0.0,0,0.4,0.6,0.0
1.1,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.6,1.0,0.3,2.9,0.0,0.0,1.5,0.0,0.0,0,0,0,0,0,0.0,0,0.1,0.0,0.0
1.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,1.0,0.0,0.6,2.3,0.0,.005,1.5,0.0,0.0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0
.005,1.0,.005,0.0,0.0,0.0,NA,NA,NA,0.5,.005,0.2,2.0,.005,NA,1.5,NA,0.0,0,0,NA,NA,NA,NA,NA,.005,0.0,NA
0.1,0.0,0.0,NA,NA,NA,NA,0.0,NA,8.0,NA,0.0,NA,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,0,0.0,NA,NA,0.0,0.0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.0,0.4,0.0,0.4,NA,NA,NA,NA,NA,0,0,0,0.0,0,0.1,NA,NA
1.5,NA,NA,0.0,0.0,0.2,0.0,NA,0.1,.005,0.6,.005,0.7,0.0,0.1,0.9,.005,NA,0,0,0,NA,0,NA,NA,0.5,0.0,0.0
0.4,.005,.005,.005,0.8,.005,.005,0.2,.005,1.2,0.0,0.7,.005,0.0,1.1,0.2,0.0,0.0,0,0,0,0,NA,0.0,0.3,0.1,0.0,0.0
1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.6,2.3,0.0,6.5,0.0,0.0,0.6,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0
4.2,NA,0.5,NA,NA,0.0,0.0,NA,7.6,1.0,1.0,1.6,6.1,0.0,0.0,NA,0.6,0.0,0,0,NA,NA,0,0.0,0,0.0,0.0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0
4.0,1.5,1.0,0.0,0.0,.005,0.0,0.0,0.3,12.0,0.5,.005,7.5,1.0,0.0,3.5,4.0,0.0,0,0,0,0,0,0.0,0,.005,.005,0.0
2.3,0.1,0.0,0.0,0.0,0.0,NA,NA,5.0,6.4,0.3,0.2,4.0,0.0,NA,0.3,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0
2.8,0.3,0.5,1.5,NA,NA,0.0,0.0,5.5,2.0,1.2,.005,7.2,1.5,0.1,5.4,0.5,0.0,0,0,0,0,0,0.0,NA,0.4,.005,NA
NA,NA,NA,NA,NA,2.0,.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.0,1.5,.005,3.0,1.8,0.0,3.5,1.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0
1.8,1.0,NA,0.0,0.0,0.0,NA,0.0,0.8,4.1,0.8,0.0,4.0,2.3,0.0,2.0,0.5,NA,NA,0,0,0,0,0.0,0,0.0,0.0,0.0
3.0,1.0,0.2,2.0,0.0,1.5,0.0,0.0,2.0,6.2,1.0,0.0,12.5,2.0,0.3,5.0,3.0,.005,0,0,0,0,0,0.0,0,0.4,.005,0.0
1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,8.8,0.0,0.0,0.6,0.0,0.0,NA,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0
1.8,.005,.005,.005,.005,0.5,0.0,0.0,0.1,.005,1.0,0.0,0.5,.005,.005,1.0,.005,0.0,0,0,0,0,NA,0.0,NA,NA,0.0,0.0
2.2,.005,0.0,.005,.005,0.8,.005,0.0,0.2,.005,1.2,.005,0.7,.005,.005,1.3,.005,0.0,0,0,0,0,0,0.0,0,0.4,.005,0.0
0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.3,0.5,2.5,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0
1.3,2.1,0.7,1.9,0.0,0.6,NA,0.0,1.4,2.5,1.0,0.1,7.8,1.5,1.0,2.8,2.7,0.0,0,NA,0,NA,0,0.0,0,.005,.005,0.0
2.0,0.1,0.0,NA,NA,0.6,0.0,NA,0.1,0.0,1.3,NA,1.0,0.0,.005,1.1,0.0,NA,0,NA,0,NA,NA,NA,NA,0.2,.005,0.0
2.1,0.2,0.0,NA,NA,NA,0.0,NA,0.2,.005,1.1,.005,1.2,0.0,.005,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
1.5,1.5,2.5,5.3,NA,0.8,.005,0.0,1.0,1.5,0.8,0.1,10.1,0.5,0.0,2.3,1.5,.005,0,0,0,0,0,0.0,0,.005,1.8,0.0
3.3,0.0,NA,NA,NA,NA,0.0,NA,3.0,5.0,2.6,0.0,10.0,0.0,0.0,NA,0.0,0.0,0,0,0,NA,0,0.0,NA,0.0,.005,0.0
2.5,0.0,NA,0.0,NA,NA,NA,NA,4.0,0.0,1.0,0.0,5.0,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA
1.5,NA,0.0,0.0,0.0,0.0,NA,0.0,2.0,11.5,0.1,.005,3.0,0.0,0.0,.005,0.0,0.0,0,0,0,NA,0,0.0,0,NA,0.0,0.0
2.4,3.3,1.3,1.3,0.6,0.4,0.0,0.0,1.3,0.0,0.7,0.0,0.9,0.4,2.7,6.5,1.0,0.0,0,0,0,0,0,0.0,0,0.4,0.0,0.0
2.8,4.2,1.2,1.9,0.5,0.8,0.0,0.0,1.7,.005,NA,0.0,1.9,0.6,4.4,9.8,0.9,0.0,0,0,NA,0,0,0.0,0,0.6,NA,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,1.0,0.0,0.0,8.0,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0
1.5,17.0,15.0,4.0,1.0,2.0,0.0,NA,0.5,1.0,2.5,0.0,9.0,1.0,0.0,4.0,1.5,0.0,0,0,0,NA,0,0.0,NA,1.5,0.0,0.0
2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.5,9.0,6.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0.0,2,3.0,0.0,0.0
3.0,0.3,0.0,1.5,0.0,0.2,NA,NA,4.8,0.7,0.0,0.7,6.0,0.2,NA,1.0,0.0,0.0,0,0,0,0,0,0.0,0,0.8,0.5,0.0
NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,10.0,2.2,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA
2.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.5,0.0,1.6,0.0,0.0,1.8,0.0,0.0,0,0,0,0,0,NA,NA,0.3,0.0,NA
NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,0.0,NA,NA,NA,0.0,NA,NA,0.0,0.0,0,0,0,0,NA,0.0,0,NA,0.0,NA
1.8,NA,NA,NA,NA,NA,0.0,NA,12.8,NA,NA,3.4,0.0,0.0,0.0,NA,NA,0.0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
3.0,0.5,4.0,1.5,4.0,2.5,0.2,NA,.005,.005,2.0,0.0,12.6,2.5,0.2,3.5,1.5,0.0,0,0,0,0,0,0.0,0,.005,0.0,0.0
0.0,1.0,0.0,NA,NA,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.9,1.3,0.9,0.0,0.0,0.0,0.0,0.0,2.3,0.0,NA,0.0,0.5,0.0,3.6,3.4,NA,0.0,0,0,0,0,0,NA,NA,NA,NA,NA
0.7,2.0,0.9,1.2,.005,.005,0.0,0.0,1.5,.005,0.6,0.0,3.0,0.5,2.9,2.5,0.0,0.0,0,0,0,0,0,0.0,0,0.2,NA,NA
2.8,1.4,0.3,0.1,0.0,0.1,0.0,0.0,1.8,6.9,0.7,.005,10.1,1.5,.005,4.2,2.5,0.4,0,0,0,0,0,0.0,0,0.2,.005,NA
3.6,4.6,NA,NA,0.0,NA,NA,NA,8.0,2.2,2.5,0.0,8.0,1.0,.005,2.0,2.5,0.0,NA,0,0,0,0,0.0,NA,1.5,.005,0.0
2.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,5.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,NA,0.0,0,1.0,0.0,0.0
3.2,1.0,0.7,0.2,0.0,0.1,0.0,0.0,6.0,3.7,1.2,.005,6.0,2.0,0.0,1.2,3.0,0.0,0,0,0,0,0,0.0,0,.005,.005,0.0
3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.3,2.2,1.0,0.0,6.0,1.0,NA,1.0,2.0,0.0,0,0,0,0,0,0.0,0,0.4,0.0,NA
3.4,2.0,0.1,1.0,.005,0.6,0.0,.005,2.4,.005,2.4,0.0,7.4,.005,0.0,1.0,1.0,0.0,0,0,0,NA,NA,0.0,0,0.8,.005,0.0
0.0,NA,0.0,NA,NA,0.0,0.0,0.0,12.0,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0,NA,0,0,NA,0.0,NA,0.0,0.0,0.0
0.8,.005,.005,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.2,0.0,1.9,0.0,.005,1.3,0.0,0.0,0,0,0,0,0,0.0,0,.005,0.0,0.0
.005,.005,.005,0.0,0.0,0.0,0.0,0.0,2.5,0.0,.005,0.0,0.5,NA,NA,0.6,0.0,0.0,0,0,0,NA,0,NA,0,NA,0.0,NA
.005,NA,NA,NA,0.0,.005,NA,0.0,3.0,.005,0.2,0.0,1.5,.005,NA,1.7,.005,0.0,0,NA,0,0,0,0.0,0,.005,.005,0.0
2.2,.005,.005,0.2,0.0,.005,0.0,0.0,.005,0.4,0.2,0.0,.005,0.0,1.0,0.8,0.0,0.0,0,0,0,0,0,0.0,0,0.1,.005,0.0
1.8,1.4,4.7,5.1,.005,0.7,.005,.005,1.0,0.4,1.4,0.0,8.7,2.4,0.0,3.4,0.9,0.0,0,0,0,0,0,0.0,0,.005,.005,0.0
3.5,.005,.005,1.0,0.0,0.6,0.0,0.0,4.0,4.0,1.2,.005,11.0,2.0,0.0,1.0,1.5,0.0,0,0,0,0,0,0.0,0,0.5,.005,0.0
2.3,NA,.005,1.1,NA,0.1,NA,NA,3.5,3.5,0.7,0.2,8.7,1.3,0.0,1.2,NA,.005,0,0,0,NA,0,0.0,0,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,0.0,NA,1.2,0.0,0.0,0,0,0,0,0,0.0,0,0.2,NA,NA
4.6,2.2,.005,0.2,0.1,0.1,0.0,0.0,0.4,0.0,0.9,0.0,0.3,0.0,0.3,4.6,0.3,0.0,0,0,0,NA,NA,NA,NA,0.4,0.0,0.0
3.5,3.0,NA,.005,.005,0.0,0.0,0.0,0.2,.005,NA,NA,0.2,NA,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,.005,NA,NA
NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.5,.005,0.8,.005,NA,.005,0.0,0.0,4.8,NA,0.8,NA,NA,2.2,.005,5.3,0.2,0.0,0,0,NA,0,NA,0.0,0,NA,NA,0.0
2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,4.9,1.6,0.0,6.8,0.0,0.0,0.2,0.1,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,NA,0.0,0.0,NA,1.0,9.0,0.0,NA,NA,0.0,.005,NA,0.0,0.0,NA,0,0,0,NA,0.0,0,NA,0.0,0.0
NA,0.2,NA,NA,NA,NA,NA,NA,5.0,2.0,1.0,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.5,2.0,0.3,0.7,0.3,.005,NA,NA,0.7,0.0,1.0,NA,1.3,0.0,0.3,4.0,NA,0.0,0,0,0,NA,NA,NA,NA,0.7,0.0,0.0
4.2,.005,.005,.005,.005,0.2,NA,NA,0.2,0.0,0.6,NA,0.3,0.0,0.4,2.4,0.1,0.0,0,0,0,NA,NA,NA,NA,0.5,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0.0,0,0.1,0.0,0.0
